iter	Passed	Remaining
0	1	158
1	2	143
2	4	136
3	5	129
4	6	128
5	8	126
6	9	124
7	10	121
8	12	122
9	13	121
10	14	119
11	16	117
12	17	115
13	18	114
14	19	112
15	21	110
16	22	108
17	23	106
18	24	103
19	25	101
20	26	98
21	27	96
22	28	94
23	29	92
24	30	91
25	31	89
26	32	88
27	33	86
28	34	85
29	36	84
30	37	83
31	38	82
32	40	81
33	41	80
34	42	79
35	43	78
36	45	76
37	46	75
38	48	75
39	49	74
40	50	72
41	51	70
42	52	69
43	53	68
44	55	67
45	56	66
46	57	65
47	59	64
48	60	63
49	61	61
50	63	60
51	64	59
52	65	58
53	67	57
54	68	55
55	69	54
56	70	53
57	72	52
58	73	51
59	75	50
60	76	49
61	78	47
62	79	46
63	81	45
64	82	44
65	84	43
66	85	42
67	86	40
68	88	39
69	90	38
70	91	37
71	93	36
72	94	34
73	95	33
74	97	32
75	98	31
76	99	29
77	101	28
78	102	27
79	103	25
80	104	24
81	106	23
82	107	21
83	108	20
84	110	19
85	111	18
86	112	16
87	113	15
88	114	14
89	116	12
90	117	11
91	118	10
92	120	9
93	121	7
94	122	6
95	124	5
96	125	3
97	126	2
98	127	1
99	129	0
